City,Country,Date,Lattitude,Longitude,Cloudiness,Humidity,Max Temperature,Wind Speed
Khairāgarh,IN,1644119326,26.95,77.8167,0,61,14.23,1.34
Da Lat,VN,1644119328,11.9465,108.4419,97,72,19.1,2.89
Pulaski,US,1644119330,34.7668,-92.3001,0,75,0.06,0.0
Zhanakorgan,KZ,1644119331,43.9098,67.2495,100,66,4.33,8.25
Exeter,GB,1644119333,50.7236,-3.5275,100,90,10.63,0.45
Zhigansk,RU,1644119334,66.7697,123.3711,100,97,-30.09,2.51
Puerto Madryn,AR,1644119167,-42.7692,-65.0385,75,48,16.36,4.13
Huarmey,PE,1644119337,-10.0681,-78.1522,84,84,21.38,3.63
Xining,CN,1644119338,36.6167,101.7667,100,68,-9.14,1.75
Mount Isa,AU,1644119340,-20.7333,139.5,100,33,31.87,3.6
Santa Helena,BR,1644119342,-2.2311,-45.3,100,98,22.6,0.75
Mezen',RU,1644119343,65.8522,44.24,73,90,-15.2,4.8
Aegviidu,EE,1644119345,59.2858,25.6142,50,97,0.76,3.9
La Ronge,CA,1644119346,55.1001,-105.2842,100,71,-19.86,1.03
Klaksvík,FO,1644119348,62.2266,-6.589,100,74,0.51,8.17
Koslan,RU,1644119349,63.4564,48.8989,18,98,-18.55,3.1
Formosa,AR,1644119194,-26.1775,-58.1781,0,57,23.99,4.63
Paragominas,BR,1644119352,-2.9667,-47.4833,100,99,22.16,1.3
Kaduqli,SD,1644119354,11.0167,29.7167,90,19,16.31,6.21
Kavaratti,IN,1644119355,10.5669,72.642,9,61,25.64,2.51
Russell,US,1644119358,32.3502,-85.1999,0,71,3.78,2.22
Tucurú,GT,1644119359,15.3,-90.0667,89,99,18.5,1.34
Montrose,US,1644119360,38.4166,-108.2673,2,69,-8.45,1.59
Piracuruca,BR,1644119362,-3.9281,-41.7092,100,96,22.7,0.66
Belaya Gora,RU,1644119363,68.5333,146.4167,86,99,-37.26,0.42
Le Port,RE,1644119242,-20.9373,55.2919,100,78,27.0,6.75
Bulgan,MN,1644119366,48.8125,103.5347,15,68,-12.62,0.98
Renqiu,CN,1644119368,38.6989,116.0936,95,23,2.74,2.11
Pacific Grove,US,1644119370,36.6177,-121.9166,0,68,13.87,0.45
Seoul,KR,1644119121,37.5683,126.9778,20,30,1.78,7.2
Beroroha,MG,1644119373,-21.6667,45.1667,100,84,24.2,7.32
Slave Lake,CA,1644119120,55.2834,-114.769,100,86,-6.01,1.03
Nueva Loja,EC,1644119377,0.0847,-76.8828,92,99,21.57,0.76
Jiangyou,CN,1644119378,31.7667,104.7167,100,97,4.06,1.99
Veshenskaya,RU,1644119380,49.6303,41.7334,91,100,-13.28,1.78
Qaqortoq,GL,1644119381,60.7167,-46.0333,100,71,-16.72,2.23
Spasskoye,RU,1644119383,44.6108,132.7969,74,80,-14.21,2.77
Oron,NG,1644119384,4.8256,8.2343,41,89,23.62,1.0
Sokoni,TZ,1644119386,-6.4333,39.55,100,80,26.83,3.08
Namie,JP,1644119387,37.4833,141.0,36,38,5.55,7.92
Lerwick,GB,1644119389,60.1545,-1.1494,89,56,4.0,13.96
Dingle,PH,1644119390,10.9995,122.6711,99,66,28.5,8.56
Tanout,NE,1644119393,14.9709,8.8879,0,18,12.62,6.01
Lata,PT,1644119395,40.1629,-8.3327,0,70,8.92,2.47
Eureka,US,1644119299,40.8021,-124.1637,8,86,8.85,0.63
Elmadağ,TR,1644119397,39.9208,33.2308,49,88,-6.42,1.63
Pedernales,DO,1644119400,18.0384,-71.744,3,69,23.72,1.21
Shirgaon,IN,1644119401,19.7,72.7,9,43,23.01,3.16
Ambon City,ID,1644119403,-3.6954,128.1814,40,62,32.08,5.14
Wahiawā,US,1644119404,21.5028,-158.0236,60,74,25.18,2.2
Shanghai,CN,1644119265,31.2222,121.4581,0,47,5.93,1.34
Balabac,PH,1644119407,7.9868,117.0645,68,80,27.55,10.55
Kurchum,KZ,1644119409,48.5722,83.6542,0,56,-6.41,5.51
Leshukonskoye,RU,1644119249,64.8989,45.7622,21,92,-16.24,3.52
Waitati,NZ,1644119239,-45.75,170.5667,89,61,14.33,2.78
Codrington,AU,1644119235,-38.2667,141.9667,46,46,24.93,8.6
Oga,IT,1644119413,46.4631,10.347,13,36,-2.4,1.23
Yerbogachën,RU,1644119415,61.2767,108.0108,100,92,-10.26,1.82
Yumen,CN,1644119417,40.2833,97.2,100,60,-8.19,8.48
Rock Sound,BS,1644119418,24.9,-76.2,7,78,23.26,5.77
Katsuura,JP,1644119420,35.1333,140.3,43,29,6.06,3.2
Ivybridge,GB,1644119421,50.3904,-3.9191,100,90,11.02,13.91
Broome,US,1644119307,42.2506,-75.833,18,44,-14.35,0.25
Kupang,ID,1644119385,-10.1667,123.5833,77,72,29.18,6.41
Viedma,AR,1644119255,-40.8135,-62.9967,0,68,12.66,2.77
Riviere-au-Renard,CA,1644119426,48.9957,-64.3971,56,81,-15.0,8.53
Bam,IR,1644119224,29.106,58.357,40,39,10.43,3.18
Guiratinga,BR,1644119429,-16.3494,-53.7583,99,90,22.45,0.67
Saint-Joseph,RE,1644119430,-21.3667,55.6167,100,79,26.21,6.94
Idah,NG,1644119432,7.1065,6.7342,4,23,21.96,0.48
San Quintín,MX,1644119433,30.4833,-115.95,0,46,13.52,2.05
Dongsheng,CN,1644119374,39.8161,109.9776,100,36,-7.72,2.17
Misratah,LY,1644119437,32.3754,15.0925,45,56,15.27,2.17
Idar-Oberstein,DE,1644119438,49.7,7.3,100,82,5.9,4.47
Aswān,EG,1644119440,24.0934,32.907,0,57,9.61,4.63
Manono,CD,1644119442,-7.3,27.4167,100,97,19.52,0.61
Kānke,IN,1644119443,23.4333,85.3167,18,72,14.01,2.06
Gimli,CA,1644119445,50.6336,-96.9907,100,78,-14.93,3.09
High Prairie,CA,1644119446,55.4334,-116.4858,100,83,1.61,4.14
Asău,RO,1644119448,46.4333,26.4,30,91,-0.89,3.14
Bintulu,MY,1644119449,3.1667,113.0333,20,83,29.23,1.34
Rock Island,US,1644119241,41.45,-90.5168,0,64,-5.68,4.12
Bon Accord,CA,1644119452,53.8335,-113.4187,43,88,-0.32,4.18
Boyle,US,1644119454,37.6334,-84.8666,0,86,-5.08,0.0
Nishifukuma,JP,1644119456,33.7667,130.4667,40,48,5.58,7.1
Chapada dos Guimarães,BR,1644119458,-15.4606,-55.7497,99,92,22.81,1.03
Maravatío de Ocampo,MX,1644119460,19.9,-100.45,47,52,11.78,1.86
Selvazzano Dentro,IT,1644119461,45.3914,11.8005,1,87,8.21,0.55
Tawao,MY,1644119463,4.2498,117.8871,100,88,26.07,0.89
Batagay,RU,1644119464,67.6333,134.6333,100,97,-36.43,0.41
Gigmoto,PH,1644119466,13.7796,124.39,36,72,27.37,7.07
Mildura,AU,1644119264,-34.2,142.15,40,24,30.6,4.63
Yerofey Pavlovich,RU,1644119468,53.9667,121.9667,26,55,-10.65,1.83
Coquimbo,CL,1644119470,-29.9533,-71.3436,100,88,16.85,1.03
Sampit,ID,1644119471,-2.5333,112.95,95,58,32.01,1.23
George,ZA,1644119473,-33.963,22.4617,100,100,15.75,1.54
Geelong,AU,1644119474,-38.1471,144.3607,38,49,29.0,3.58
Yinchuan,CN,1644119338,38.4681,106.2731,100,25,-4.77,2.89
Ambanja,MG,1644119477,-13.6833,48.45,85,88,23.07,1.28
Hervey Bay,AU,1644119479,-25.2986,152.8535,41,56,27.8,11.25
Letterkenny,IE,1644119212,54.95,-7.7333,99,74,5.25,8.44
Port Blair,IN,1644119482,11.6667,92.75,40,66,30.02,4.12
Søgne,NO,1644119484,58.0833,7.8167,38,77,3.16,8.34
Adrar,MR,1644119485,20.5022,-10.0711,0,8,16.58,3.9
College,US,1644119285,64.8569,-147.8028,100,82,-12.45,2.06
Northam,GB,1644119488,51.0333,-4.2167,100,95,10.57,14.99
Nizhniy Baskunchak,RU,1644119489,48.2198,46.8311,100,86,-7.37,6.41
Nyurba,RU,1644119491,63.2842,118.3319,100,96,-20.06,1.62
Chachapoyas,PE,1644119492,-6.2317,-77.869,100,97,11.59,0.55
Lao Cai,VN,1644119494,22.4833,103.95,100,91,13.65,0.96
Bariloche,AR,1644119495,-41.1456,-71.3082,0,62,12.91,2.06
Havre-St-Pierre,CA,1644119497,50.2334,-63.5986,0,55,-15.67,5.66
Ouésso,CG,1644119498,1.6136,16.0517,98,29,19.12,0.85
Paamiut,GL,1644119500,61.994,-49.6678,100,85,-18.3,3.67
Narsaq,GL,1644119501,60.9167,-46.05,100,70,-19.39,2.64
Rasht,IR,1644119503,37.2808,49.5832,100,100,2.9,2.06
Lábrea,BR,1644119504,-7.2586,-64.7981,99,98,21.32,0.52
Arman',RU,1644119506,59.7,150.1667,25,74,-9.99,4.26
Padang,ID,1644119337,-0.9492,100.3543,100,81,29.03,0.43
Mogadishu,SO,1644119509,2.0371,45.3438,75,78,25.93,4.12
Oxford,GB,1644119510,51.7522,-1.256,100,90,9.95,0.89
Buenos Aires,AR,1644119402,-34.6132,-58.3772,40,83,16.85,3.6
Conde,BR,1644119513,-7.2597,-34.9075,20,83,24.7,2.06
Luoyang,CN,1644119515,34.6836,112.4536,100,38,3.62,1.84
Majene,ID,1644119517,-3.5403,118.9707,28,66,29.89,1.55
Trofors,NO,1644119519,65.5333,13.4063,99,91,0.01,1.94
Savalou,BJ,1644119520,7.9281,1.9756,1,31,23.93,1.38
Lodja,CD,1644119523,-3.4833,23.4333,87,91,19.83,0.87
Ntchisi,MW,1644119524,-13.5278,33.9149,100,97,14.93,1.33
Nelson Bay,AU,1644119526,-32.7167,152.15,73,70,24.86,1.79
Sørland,NO,1644119527,67.667,12.6934,82,66,3.54,7.61
Nola,IT,1644119529,40.922,14.5329,90,85,12.18,1.91
Umluj,SA,1644119530,25.0213,37.2685,0,58,16.36,4.95
Kamloops,CA,1644119532,50.6665,-120.3192,0,82,1.99,0.89
Celestún,MX,1644119481,20.8667,-90.4,81,77,22.07,7.24
Vila Franca do Campo,PT,1644119534,37.7167,-25.4333,78,86,15.66,6.54
Sitka,US,1644119536,57.0531,-135.33,100,81,5.94,10.8
Miranda,CO,1644119538,3.2499,-76.2281,86,91,21.07,1.36
Kalamnūri,IN,1644119540,19.6667,77.3333,87,21,21.46,2.86
Imeni Poliny Osipenko,RU,1644119541,52.4201,136.4853,100,83,-13.23,3.56
Kaoma,ZM,1644119543,-14.7833,24.8,100,99,17.64,1.63
Vostok,RU,1644119545,46.4856,135.8833,100,85,-16.5,2.56
Scarborough,GB,1644119547,54.2797,-0.4044,79,86,7.1,1.34
Ximeicun,CN,1644119550,24.9639,118.3794,100,63,13.86,3.45
Rangkasbitung,ID,1644119551,-6.3591,106.2494,100,92,27.99,2.58
Cao Bang,VN,1644119553,22.6667,106.25,100,93,11.48,1.07
Cairo,EG,1644119554,30.0626,31.2497,40,81,10.68,0.0
İslahiye,TR,1644119556,37.025,36.6306,2,88,1.54,1.35
Burns Lake,CA,1644119557,54.2331,-125.7533,100,96,1.68,1.99
Dukhovnitskoye,RU,1644119558,52.4828,48.2137,100,93,-5.41,3.35
Labuhan,ID,1644119560,-6.8844,112.2051,83,74,28.9,5.37
Madang,PG,1644119562,-5.2246,145.7966,100,59,31.86,4.03
Panguna,PG,1644119563,-6.3164,155.4848,43,65,27.78,1.5
Camacupa,AO,1644119565,-12.0167,17.4833,100,71,16.09,1.71
Lázaro Cárdenas,MX,1644119566,17.9583,-102.2,0,78,22.67,1.8
Chara,RU,1644119568,56.9064,118.2631,2,89,-22.49,0.52
Beyneu,KZ,1644119569,45.3167,55.2,100,82,-1.72,8.92
Matagami,CA,1644119570,49.7502,-77.6328,0,69,-29.94,1.03
Innisfail,AU,1644119572,-17.5333,146.0333,17,81,31.23,3.79
Puri,IN,1644119573,19.8,85.85,36,36,20.29,3.72
Raja,SS,1644119575,8.4596,25.678,100,19,17.97,3.19
Barra do Garças,BR,1644119577,-15.89,-52.2567,100,92,22.84,1.49
Mairi,BR,1644119578,-11.7114,-40.1489,100,87,21.38,2.13
Peleduy,RU,1644119580,59.6289,112.7406,100,93,-10.2,3.18
Fortuna,US,1644119581,40.5982,-124.1573,0,97,7.59,3.09
Muyezerskiy,RU,1644119583,63.9333,31.65,100,93,-7.94,4.3
Riyadh,SA,1644119243,24.6877,46.7219,0,39,8.08,3.7
Erenhot,CN,1644119585,43.6475,111.9767,4,70,-11.23,4.56
Tiarei,PF,1644119389,-17.5333,-149.3333,14,75,30.0,8.94
Tashla,RU,1644119588,51.7716,52.7427,100,97,-6.01,1.49
San Miguel de Tucumán,AR,1644119590,-26.8241,-65.2226,100,88,18.0,2.57
Port Macquarie,AU,1644119309,-31.4333,152.9167,74,88,19.98,4.63
Maragogi,BR,1644119102,-9.0122,-35.2225,81,77,25.07,2.77
Yaan,NG,1644119594,7.3833,8.5667,0,19,23.3,3.02
Karratha,AU,1644119596,-20.7377,116.8463,49,50,34.09,7.32
